id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,intensity,country,state,location_name,latitude,longitude,region_code,injuries,injuries_description,damage_millions_dollars,damage_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description
338.0,No,1048.0,,,,,,,,,,,,UK,,UNITED KINGDOM:  BRITIAN,52.0,,120,,,,,,,,
771.0,Tsu,1580.0,4.0,6.0,,,,33.0,6.2,,,,,UK,,UNITED KINGDOM:  DOVER STRAITS,51.019,1.3090000000000002,120,,,,2,,,,
7889.0,Tsu,1757.0,7.0,15.0,,,,,,,,,,UK,,"UNITED KINGDOM:  ENGLAND: ST. MARY, SCILLY ISLANDS",49.92,-6.32,120,,,,,,,,
6697.0,Tsu,1500.0,,,,,,,,,,,,USA,HI,HAWAII,,,150,,,,,,,,
6013.0,Tsu,1668.0,4.0,13.0,,,,,,,,,4.0,USA,MA,"BOSTON AND SALEM, MASSACHUSETTS",42.35,-71.05,150,,,,,,,,
5828.0,Tsu,1755.0,11.0,18.0,9.0,11.0,35.0,,7.0,,,,8.0,USA,MA,MASSACHUSETTS:  EAST OF CAPE ANN,42.7,-70.3,150,,,,2,,,,
5927.0,Tsu,1788.0,8.0,6.0,,,,,8.0,,8.0,,,USA,AK,ALASKA PENINSULA,55.0,-161.0,150,,,,,,,,
7058.0,Tsu,1811.0,12.0,16.0,13.0,15.0,,,7.0,7.0,8.0,,10.0,USA,AR,ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES),35.6,-90.4,150,,,,,,,,
1597.0,Tsu,1812.0,1.0,23.0,15.0,,,,7.3,7.3,8.4,,10.0,USA,MO,MISSOURI:  NEW MADRID,36.3,-89.6,150,,,,3,,,,
6635.0,Tsu,1817.0,1.0,8.0,,,,,,,,,,USA,PA,PENNSYLVANIA:  PHILADELPHIA,39.95,-75.1,150,,,,,,,,
6650.0,Tsu,1820.0,3.0,1.0,,,,,,,,,,USA,AK,ALASKA:  EAST ALEUTIAN ISLANDS,54.52,-164.65,150,,,,,,,,
6636.0,Tsu,1823.0,5.0,30.0,,,,,,,,,,USA,NY,LAKE ERIE (GREAT LAKES),42.7,-79.0,150,,,,,,,,
1789.0,No,1836.0,6.0,10.0,15.0,30.0,,,,,,,10.0,USA,CA,CALIFORNIA,38.0,-122.0,150,,,,,,,,
6076.0,Tsu,1839.0,3.0,,,,,,,,,,,USA,HI,HAWAII,,,150,,,,,,,,
6514.0,Tsu,1840.0,11.0,11.0,,,,,5.2,,,,,USA,PA,PENNSYLVANIA:  PHILADELPHIA,39.8,-75.2,150,,,,,,,,
6064.0,Tsu,1851.0,5.0,15.0,16.0,10.0,,,,,,,6.0,USA,CA,CALIFORNIA:  NORTHERN,37.8,-122.4,150,,,,,,,,
6065.0,Tsu,1851.0,11.0,13.0,2.0,51.0,,,,,,,,USA,CA,CALIFORNIA:  NORTHERN,40.0,-122.0,150,,,,,,,,
6067.0,Tsu,1852.0,11.0,25.0,7.0,9.0,,,,,,,,USA,CA,CALIFORNIA:  NORTHERN,,,150,,,,,,,,
1938.0,No,1853.0,2.0,1.0,21.0,,,,,,,,8.0,USA,CA,CALIFORNIA:  SAN SIMEON,35.5,-121.0,150,,,,2,,,,
6116.0,Tsu,1854.0,1.0,27.0,18.0,10.0,,,,,,,5.0,USA,AK,ALASKA:  GULF OF ALASKA,57.0,-152.0,150,,,,,,,,
6117.0,Tsu,1854.0,5.0,31.0,12.0,59.0,,,,,,,,USA,CA,CALIFORNIA:  SOUTHERN,34.4,-119.7,150,,,,,,,,
6120.0,Tsu,1854.0,10.0,22.0,3.0,35.0,,,,,,,,USA,CA,CALIFORNIA:  NORTHERN,37.8,-122.4,150,,,,,,,,
6121.0,Tsu,1855.0,3.0,20.0,0.0,30.0,,,,,,,5.0,USA,CA,CALIFORNIA:  NORTHERN,40.75,-124.2,150,,,,,,,,
10017.0,Tsu,1855.0,10.0,22.0,3.0,45.0,,,,,,,,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.8,-122.4,150,,,,,,,,
2007.0,No,1857.0,1.0,9.0,10.0,13.0,,,8.3,,,,7.0,USA,CA,CALIFORNIA:  SAN FRANCISCO,35.0,-119.0,150,,,,3,,,,
2031.0,No,1858.0,11.0,26.0,8.0,35.0,,,,,,,9.0,USA,CA,"CALIFORNIA:  SAN JOSE,SAN FRANCISCO",37.5,-122.0,150,,,,3,,,,
6135.0,Tsu,1859.0,9.0,24.0,,,,,,,,,,USA,CA,CALIFORNIA:  HALF MOON BAY,37.6,-122.3,150,,,,,,,,
2051.0,No,1861.0,7.0,4.0,0.0,11.0,,,,,,,11.0,USA,CA,"CALIFORNIA:  CONTRA COSTA,ALAMEDA COUNTIES",37.5,-122.0,150,,,,3,,,,
6978.0,Tsu,1862.0,5.0,27.0,,,,,5.9,,,,7.0,USA,CA,CALIFORNIA:  SAN DIEGO,32.7,-117.2,150,,,,,,,,
2093.0,No,1865.0,3.0,7.0,14.0,,,,,,,,8.0,USA,CA,CALIFORNIA:  SONOMA COUNTY:  E CENTRAL,38.5,-122.5,150,,,,2,,,,
2098.0,No,1865.0,10.0,1.0,17.0,15.0,,,,,,,9.0,USA,CA,"CALIFORNIA:  FORT HUMBOLDT, EUREKA",41.0,-124.5,150,,,,2,,,,
