0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,y
0.04981,21.0,5.64,0.0,0.439,5.997999999999999,21.4,6.8147,4.0,243.0,16.8,396.9,8.43,22.50757741963955,22.380000000000006,27.080000000000002,19.4,23.4
0.20745999999999998,0.0,27.74,0.0,0.609,5.093,98.0,1.8226,4.0,711.0,20.1,318.43,29.68,16.238795572692222,15.707500000000001,17.46,16.55,8.1
0.11329000000000002,30.0,4.93,0.0,0.428,6.897,54.3,6.3361,6.0,300.0,16.6,391.25,11.38,27.423950268092224,26.872499999999995,21.840000000000003,28.2,22.0
19.6091,0.0,18.1,0.0,0.6709999999999999,7.313,97.9,1.3163,24.0,666.0,20.2,396.9,13.44,20.93977202968826,21.5325,10.5,28.2,15.0
25.9406,0.0,18.1,0.0,0.679,5.303999999999999,89.1,1.6475,24.0,666.0,20.2,127.36,26.64,11.319593708194093,11.28,14.7,10.2,10.4
9.513630000000001,0.0,18.1,0.0,0.713,6.728,94.1,2.4961,24.0,666.0,20.2,6.68,18.71,14.168873434711648,13.6875,10.120000000000001,14.9,14.9
0.3494,0.0,9.9,0.0,0.544,5.972,76.7,3.1025,4.0,304.0,18.4,396.24,9.97,20.646377715183768,20.6475,23.04,21.6,20.3
13.6781,0.0,18.1,0.0,0.74,5.935,87.9,1.8206,24.0,666.0,20.2,68.95,34.02,12.182778635434206,11.384999999999998,12.42,10.2,8.4
0.06129,20.0,3.33,1.0,0.4429,7.645,49.7,5.2119,5.0,216.0,14.9,377.07,3.01,40.64625868040711,42.6525,34.68,47.5,46.0
0.07977999999999999,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4.0,254.0,17.6,396.9,7.19,23.85465192553901,23.570000000000004,29.5,23.4,29.1
0.28955,0.0,10.59,0.0,0.489,5.412000000000001,9.8,3.5875,4.0,277.0,18.6,348.93,29.55,20.587968626440386,20.735,27.2,16.55,23.7
0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4.0,437.0,21.2,394.67,16.96,17.650891488173066,17.089999999999996,17.080000000000002,19.65,18.1
0.07151,0.0,4.49,0.0,0.449,6.121,56.8,3.7476,3.0,247.0,18.5,395.15,8.44,22.25258013931525,22.705000000000005,25.419999999999998,20.0,22.2
0.15098,0.0,10.01,0.0,0.547,6.021,82.6,2.7474,6.0,432.0,17.8,394.51,10.3,20.430427715183768,20.647500000000004,20.119999999999997,22.75,19.2
15.8744,0.0,18.1,0.0,0.6709999999999999,6.545,99.1,1.5192,24.0,666.0,20.2,396.9,21.08,12.736304830255952,11.870000000000003,10.62,10.2,10.9
0.18337,0.0,27.74,0.0,0.609,5.414,98.3,1.7554,4.0,711.0,20.1,344.05,23.97,16.238795572692222,15.642500000000002,16.32,16.55,7.0
0.10469,40.0,6.41,1.0,0.447,7.267,49.0,4.7872,4.0,254.0,17.6,389.25,6.05,30.394989930957525,30.747499999999995,28.02,34.9,33.2
0.0566,0.0,3.41,0.0,0.489,7.007000000000001,86.3,3.4217,2.0,270.0,17.8,396.9,5.5,28.756571859769142,31.4675,25.04,32.2,23.6
0.05083,0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5.0,224.0,20.2,389.71,5.68,22.679896356662532,23.7625,22.96,24.6,22.2
7.9924800000000005,0.0,18.1,0.0,0.7,5.52,100.0,1.5331,24.0,666.0,20.2,396.9,24.56,13.38486816398451,12.190000000000001,11.68,13.3,12.3
2.4495299999999998,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5.0,403.0,14.7,330.04,11.32,20.517473329205917,19.880000000000003,19.6,20.0,22.3
0.0837,45.0,3.44,0.0,0.43700000000000006,7.185,38.9,4.5667,5.0,398.0,15.2,396.9,5.39,31.46144374149649,30.985000000000003,29.46,32.2,34.9
0.61154,20.0,3.97,0.0,0.647,8.704,86.9,1.801,5.0,264.0,13.0,389.7,5.12,37.3152095258886,37.977500000000006,38.64,47.5,50.0
0.01432,100.0,1.32,0.0,0.41100000000000003,6.816,40.5,8.3248,5.0,256.0,15.1,392.9,3.95,30.886120864970568,33.28,36.86,34.9,31.6
7.05042,0.0,18.1,0.0,0.614,6.103,85.1,2.0218,24.0,666.0,20.2,2.52,23.29,15.553028889640558,15.434999999999999,10.960000000000003,13.3,13.4
8.20058,0.0,18.1,0.0,0.713,5.936,80.3,2.7792,24.0,666.0,20.2,3.5,16.94,14.647956948566558,14.6875,13.02,14.9,13.5
0.32264,0.0,21.89,0.0,0.624,5.942,93.5,1.9669,4.0,437.0,21.2,378.25,16.9,17.386440023770206,16.322499999999998,16.979999999999997,19.65,17.4
0.32543,0.0,21.89,0.0,0.624,6.431,98.8,1.8125,4.0,437.0,21.2,396.9,15.39,16.891111162502224,17.685,17.08,19.65,18.0
0.03615,80.0,4.95,0.0,0.41100000000000003,6.63,23.4,5.1167,4.0,245.0,19.2,396.9,4.7,25.39434487535144,27.070000000000004,38.94,28.0,27.9
0.03551,25.0,4.86,0.0,0.426,6.167000000000001,46.7,5.4007,4.0,281.0,19.0,390.64,7.51,23.352289300932675,23.085000000000004,26.020000000000003,23.4,22.9
25.0461,0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24.0,666.0,20.2,396.9,26.77,11.943272953074853,10.1425,9.34,10.2,5.6
12.8023,0.0,18.1,0.0,0.74,5.854,96.6,1.8956,24.0,666.0,20.2,240.52,23.79,12.881777981184204,11.7975,15.440000000000001,10.2,10.8
5.44114,0.0,18.1,0.0,0.713,6.655,98.2,2.3552,24.0,666.0,20.2,355.29,17.73,17.38318344305649,17.09,15.280000000000001,14.9,15.2
23.6482,0.0,18.1,0.0,0.6709999999999999,6.38,96.2,1.3861,24.0,666.0,20.2,396.9,23.69,12.249424763133241,10.715000000000002,9.34,10.2,13.1
0.08826,0.0,10.81,0.0,0.413,6.417000000000001,6.6,5.2873,4.0,305.0,19.2,383.73,6.72,22.971085410929007,22.725000000000005,27.840000000000003,23.4,24.2
0.06724,0.0,3.24,0.0,0.46,6.332999999999999,17.2,5.2146,4.0,430.0,16.9,375.21,7.34,23.985439902902037,24.307500000000005,20.98,23.4,22.6
0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5.0,276.0,16.4,392.8,13.51,21.32763512283254,20.9625,23.299999999999997,22.75,23.3
0.28392,0.0,7.38,0.0,0.493,5.707999999999999,74.3,4.7211,5.0,287.0,19.6,391.13,11.74,22.198133673273517,21.235,23.46,20.0,18.5
8.64476,0.0,18.1,0.0,0.693,6.193,92.6,1.7912,24.0,666.0,20.2,396.9,15.17,14.414033796998439,14.9475,14.219999999999999,14.9,13.8
0.65665,20.0,3.97,0.0,0.647,6.8420000000000005,100.0,2.0107,5.0,264.0,13.0,391.93,6.9,31.643442150205615,29.767500000000005,38.64,34.9,30.1
0.06262999999999999,0.0,11.93,0.0,0.573,6.593,69.1,2.4786,1.0,273.0,21.0,391.99,9.67,22.175090783551607,23.835,21.1,24.5,22.4
0.027630000000000002,75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,27.607841470351346,29.765000000000008,38.94,28.0,30.8
0.04297,52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,293.0,16.6,371.72,9.51,25.19864114844323,24.855000000000004,23.82,24.5,24.8
9.33889,0.0,18.1,0.0,0.679,6.38,95.6,1.9682,24.0,666.0,20.2,60.72,24.08,13.455256082412594,12.15,13.66,13.3,9.5
0.0459,52.5,5.32,0.0,0.405,6.315,45.6,7.3172,6.0,293.0,16.6,396.9,7.6,23.129123146118985,23.377500000000005,23.18,23.4,22.3
7.83932,0.0,18.1,0.0,0.655,6.209,65.4,2.9634,24.0,666.0,20.2,396.9,13.22,19.43692483503066,18.685,23.0,21.6,21.4
0.1396,0.0,8.56,0.0,0.52,6.167000000000001,90.0,2.421,5.0,384.0,20.9,392.69,12.33,20.38180648168518,20.13,19.68,20.8,20.1
0.10959,0.0,11.93,0.0,0.573,6.794,89.3,2.3889,1.0,273.0,21.0,393.45,6.48,25.606853814085646,28.659999999999997,21.84,28.0,22.0
11.0874,0.0,18.1,0.0,0.718,6.4110000000000005,100.0,1.8589,24.0,666.0,20.2,318.75,15.02,15.742491158720009,15.129999999999995,19.22,14.9,16.7
0.14932,25.0,5.13,0.0,0.45299999999999996,5.7410000000000005,66.2,7.2254,8.0,284.0,19.7,395.11,13.15,21.8320092959613,21.782500000000002,21.959999999999997,19.4,18.7
4.03841,0.0,18.1,0.0,0.532,6.229,90.7,3.0993,24.0,666.0,20.2,395.33,12.87,20.584626481685177,20.485,19.46,21.6,19.6
3.4742800000000003,0.0,18.1,1.0,0.718,8.78,82.9,1.9047,24.0,666.0,20.2,354.55,5.29,31.539308607808778,34.24249999999999,25.099999999999998,47.5,21.9
0.08447,0.0,4.05,0.0,0.51,5.859,68.7,2.7019,5.0,296.0,16.6,393.23,9.64,22.219611664193415,22.755000000000003,21.740000000000002,22.75,22.6
0.0315,95.0,1.47,0.0,0.40299999999999997,6.975,15.3,7.6534,3.0,402.0,17.0,396.9,4.56,30.427937816573742,31.8325,28.5,32.2,34.9
0.57529,0.0,6.2,0.0,0.507,8.337,73.3,3.8384,8.0,307.0,17.4,385.91,2.47,40.47346346160204,41.58250000000001,39.14,47.5,41.7
0.009059999999999999,90.0,2.97,0.0,0.4,7.087999999999999,20.8,7.3073,1.0,285.0,15.3,394.72,7.85,30.68099074799489,31.595000000000006,28.4,28.2,32.2
0.51183,0.0,6.2,0.0,0.507,7.358,71.6,4.148,8.0,307.0,17.4,390.07,4.73,31.35091841176132,33.4525,32.78,32.2,31.5
0.15037999999999999,0.0,25.65,0.0,0.581,5.856,97.0,1.9444,2.0,188.0,19.1,370.31,25.41,18.43005237693714,17.3725,19.339999999999996,16.55,17.3
1.05393,0.0,8.14,0.0,0.5379999999999999,5.935,29.3,4.4986,4.0,307.0,21.0,386.85,6.58,21.6310741596624,23.89,29.619999999999997,23.4,23.1
5.29305,0.0,18.1,0.0,0.7,6.051,82.5,2.1678,24.0,666.0,20.2,378.38,18.76,16.043363160956506,15.525000000000002,20.56,14.9,23.2
0.40771,0.0,6.2,1.0,0.507,6.164,91.3,3.048,8.0,307.0,17.4,395.24,21.46,20.714084862359467,21.424999999999997,16.860000000000003,16.55,21.7
0.02899,40.0,1.25,0.0,0.429,6.939,34.5,8.7921,1.0,335.0,19.7,389.85,5.89,28.638408780634276,30.295000000000005,25.740000000000002,32.2,26.6
4.0974,0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5.0,403.0,14.7,396.9,26.42,16.13795088099711,14.5675,16.4,13.3,15.6
0.27957,0.0,9.69,0.0,0.585,5.926,42.6,2.3817,6.0,391.0,19.2,396.9,13.59,20.62938405434152,20.3675,21.46,20.0,24.5
0.29916,20.0,6.96,0.0,0.46399999999999997,5.856,42.1,4.428999999999999,3.0,223.0,18.6,388.65,13.0,22.36083965929504,21.767500000000002,33.239999999999995,20.0,21.1
41.5292,0.0,18.1,0.0,0.693,5.531000000000001,85.4,1.6074,24.0,666.0,20.2,329.46,27.38,11.716262754508831,11.02,15.900000000000002,10.2,8.5
9.18702,0.0,18.1,0.0,0.7,5.5360000000000005,100.0,1.5804,24.0,666.0,20.2,396.9,23.6,13.38486816398451,11.392500000000002,10.56,13.3,11.3
8.15174,0.0,18.1,0.0,0.7,5.39,98.9,1.7281,24.0,666.0,20.2,396.9,20.85,13.38486816398451,12.192499999999999,12.7,13.3,11.5
0.09068,45.0,3.44,0.0,0.43700000000000006,6.9510000000000005,21.5,6.4798,5.0,398.0,15.2,377.68,5.1,29.87919211091485,30.740000000000002,29.459999999999997,32.2,37.0
0.57834,20.0,3.97,0.0,0.575,8.297,67.0,2.4216,5.0,264.0,13.0,384.54,7.44,33.98268982834544,36.792500000000004,30.859999999999996,47.5,50.0
0.06905,0.0,2.18,0.0,0.45799999999999996,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,31.02508020769064,33.464999999999996,23.82,34.9,36.2
51.1358,0.0,18.1,0.0,0.597,5.757000000000001,100.0,1.413,24.0,666.0,20.2,2.6,10.11,17.312261133438884,15.469999999999999,8.780000000000001,21.6,15.0
2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5.0,403.0,14.7,261.95,15.79,16.963231970450007,16.177500000000002,19.52,14.9,19.4
10.6718,0.0,18.1,0.0,0.74,6.459,94.8,1.9879,24.0,666.0,20.2,43.06,23.98,12.916588033049528,11.8325,11.3,13.3,11.8
0.67191,0.0,8.14,0.0,0.5379999999999999,5.813,90.3,4.6819999999999995,4.0,307.0,21.0,376.88,14.81,19.186671674441055,18.6,17.919999999999998,20.0,16.6
0.49298000000000003,0.0,9.9,0.0,0.544,6.635,82.5,3.3175,4.0,304.0,18.4,396.9,4.54,25.748092166251414,27.797500000000003,22.22,28.0,22.8
0.66351,20.0,3.97,0.0,0.647,7.332999999999999,100.0,1.8946,5.0,264.0,13.0,383.29,7.79,31.215097225432917,33.4325,38.019999999999996,28.2,36.0
2.15505,0.0,19.58,0.0,0.871,5.627999999999999,100.0,1.5166,5.0,403.0,14.7,169.27,16.65,16.963231970450007,15.110000000000003,16.38,14.9,15.6
0.35809,0.0,6.2,1.0,0.507,6.9510000000000005,88.5,2.8617,8.0,307.0,17.4,391.7,9.71,26.89861660539228,30.23,24.4,28.2,26.7
0.12269000000000001,0.0,6.91,0.0,0.44799999999999995,6.069,40.0,5.7209,3.0,233.0,17.9,389.39,9.55,22.10501482466993,22.08,19.919999999999998,19.4,21.2
1.25179,0.0,8.14,0.0,0.5379999999999999,5.57,98.1,3.7979,4.0,307.0,21.0,376.57,21.02,17.857492073363062,15.7025,16.96,13.3,13.6
4.55587,0.0,18.1,0.0,0.718,3.5610000000000004,87.9,1.6132,24.0,666.0,20.2,354.7,7.12,24.405364707373923,22.177500000000002,25.099999999999998,23.4,27.5
0.5405,20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,264.0,13.0,390.3,3.16,41.21501410852179,40.695,22.900000000000002,47.5,43.5
0.06151,0.0,5.19,0.0,0.515,5.968,58.5,4.8122,5.0,224.0,20.2,396.9,9.29,21.504833915626833,21.0375,21.02,20.0,18.7
0.17171,25.0,5.13,0.0,0.45299999999999996,5.966,93.4,6.8185,8.0,284.0,19.7,378.08,14.44,21.440631920349517,21.410000000000004,38.019999999999996,19.4,16.0
1.15172,0.0,8.14,0.0,0.5379999999999999,5.7010000000000005,95.0,3.7872,4.0,307.0,21.0,358.77,18.35,18.292006072162298,15.797500000000003,19.6,14.9,13.1
