Fare,class_ticket__2,class_ticket__3
7.25,0,1
71.2833,0,0
7.925,0,1
53.1,0,0
8.05,0,1
8.4583,0,1
51.8625,0,0
21.075,0,1
11.1333,0,1
30.0708,1,0
16.7,0,1
26.55,0,0
8.05,0,1
31.275,0,1
7.8542,0,1
16.0,1,0
29.125,0,1
13.0,1,0
18.0,0,1
7.225,0,1
26.0,1,0
13.0,1,0
8.0292,0,1
35.5,0,0
21.075,0,1
31.3875,0,1
7.225,0,1
263.0,0,0
7.8792,0,1
7.8958,0,1
27.7208,0,0
146.5208,0,0
7.75,0,1
10.5,1,0
82.1708,0,0
52.0,0,0
7.2292,0,1
8.05,0,1
18.0,0,1
11.2417,0,1
9.475,0,1
21.0,1,0
7.8958,0,1
41.5792,1,0
7.8792,0,1
8.05,0,1
15.5,0,1
7.75,0,1
21.6792,0,1
17.8,0,1
39.6875,0,1
7.8,0,1
76.7292,0,0
26.0,1,0
61.9792,0,0
35.5,0,0
10.5,1,0
7.2292,0,1
27.75,1,0
46.9,0,1
7.2292,0,1
80.0,0,0
83.475,0,0
27.9,0,1
27.7208,0,0
15.2458,0,1
10.5,1,0
8.1583,0,1
7.925,0,1
8.6625,0,1
10.5,1,0
46.9,0,1
73.5,1,0
14.4542,0,1
56.4958,0,1
7.65,0,1
7.8958,0,1
8.05,0,1
29.0,1,0
12.475,0,1
9.0,0,1
9.5,0,1
7.7875,0,1
47.1,0,0
10.5,1,0
15.85,0,1
34.375,0,1
8.05,0,1
263.0,0,0
8.05,0,1
8.05,0,1
7.8542,0,1
61.175,0,0
20.575,0,1
7.25,0,1
8.05,0,1
34.6542,0,0
63.3583,0,0
23.0,1,0
26.0,1,0
7.8958,0,1
7.8958,0,1
77.2875,0,0
8.6542,0,1
7.925,0,1
7.8958,0,1
7.65,0,1
7.775,0,1
7.8958,0,1
24.15,0,1
52.0,0,0
14.4542,0,1
8.05,0,1
9.825,0,1
14.4583,0,1
7.925,0,1
7.75,0,1
21.0,1,0
247.5208,0,0
31.275,0,1
73.5,1,0
8.05,0,1
30.0708,1,0
13.0,1,0
77.2875,0,0
11.2417,0,1
7.75,0,1
7.1417,0,1
22.3583,0,1
6.975,0,1
7.8958,0,1
7.05,0,1
14.5,0,1
26.0,1,0
13.0,1,0
15.0458,1,0
26.2833,0,0
53.1,0,0
9.2167,0,1
79.2,0,0
15.2458,0,1
7.75,0,1
15.85,0,1
6.75,0,1
11.5,1,0
36.75,1,0
7.7958,0,1
34.375,0,1
26.0,1,0
13.0,1,0
12.525,1,0
66.6,0,0
8.05,0,1
14.5,0,1
7.3125,0,1
61.3792,0,0
7.7333,0,1
8.05,0,1
8.6625,0,1
69.55,0,1
16.1,0,1
15.75,1,0
7.775,0,1
8.6625,0,1
39.6875,0,1
20.525,0,1
55.0,0,0
27.9,0,1
25.925,0,0
56.4958,0,1
33.5,0,0
29.125,0,1
11.1333,0,1
7.925,0,1
30.6958,0,0
7.8542,0,1
25.4667,0,1
28.7125,0,0
13.0,1,0
0.0,0,1
69.55,0,1
15.05,1,0
31.3875,0,1
39.0,1,0
22.025,0,1
50.0,0,0
15.5,0,1
26.55,0,0
15.5,0,1
7.8958,0,1
13.0,1,0
13.0,1,0
7.8542,0,1
26.0,1,0
27.7208,0,0
146.5208,0,0
7.75,0,1
8.4042,0,1
7.75,0,1
13.0,1,0
9.5,0,1
69.55,0,1
6.4958,0,1
7.225,0,1
8.05,0,1
10.4625,0,1
15.85,0,1
18.7875,0,1
7.75,0,1
31.0,0,0
7.05,0,1
21.0,1,0
7.25,0,1
13.0,1,0
7.75,0,1
113.275,0,0
7.925,0,1
27.0,1,0
76.2917,0,0
10.5,1,0
8.05,0,1
13.0,1,0
8.05,0,1
7.8958,0,1
90.0,0,0
9.35,0,1
10.5,1,0
7.25,0,1
13.0,1,0
25.4667,0,1
83.475,0,0
7.775,0,1
13.5,1,0
31.3875,0,1
10.5,1,0
7.55,0,1
26.0,1,0
26.25,1,0
10.5,1,0
12.275,1,0
14.4542,0,1
15.5,0,1
10.5,1,0
7.125,0,1
7.225,0,1
90.0,0,0
7.775,0,1
14.5,1,0
52.5542,0,0
26.0,1,0
7.25,0,1
10.4625,0,1
26.55,0,0
16.1,0,1
20.2125,0,1
15.2458,0,1
79.2,0,0
86.5,0,0
512.3292,0,0
26.0,1,0
7.75,0,1
31.3875,0,1
79.65,0,0
0.0,0,0
7.75,0,1
10.5,1,0
39.6875,0,1
7.775,0,1
153.4625,0,0
135.6333,0,0
31.0,0,0
0.0,0,1
19.5,1,0
29.7,0,0
7.75,0,1
77.9583,0,0
7.75,0,1
0.0,1,0
29.125,0,1
20.25,0,1
7.75,0,1
7.8542,0,1
9.5,0,1
8.05,0,1
26.0,0,0
8.6625,0,1
9.5,0,1
7.8958,0,1
13.0,1,0
7.75,0,1
78.85,0,0
91.0792,0,0
12.875,1,0
8.85,0,1
7.8958,0,1
27.7208,0,0
7.2292,0,1
151.55,0,0
30.5,0,0
247.5208,0,0
7.75,0,1
23.25,0,1
0.0,0,1
12.35,1,0
8.05,0,1
151.55,0,0
110.8833,0,0
108.9,0,0
24.0,1,0
56.9292,0,0
83.1583,0,0
262.375,0,0
26.0,1,0
7.8958,0,1
26.25,1,0
7.8542,0,1
26.0,1,0
14.0,1,0
164.8667,0,0
134.5,0,0
7.25,0,1
7.8958,0,1
12.35,1,0
29.0,1,0
69.55,0,1
135.6333,0,0
6.2375,0,1
13.0,1,0
20.525,0,1
57.9792,0,0
23.25,0,1
28.5,0,0
153.4625,0,0
18.0,0,1
133.65,0,0
7.8958,0,1
66.6,0,0
134.5,0,0
8.05,0,1
35.5,0,0
26.0,1,0
263.0,0,0
13.0,1,0
13.0,1,0
13.0,1,0
13.0,1,0
13.0,1,0
16.1,0,1
15.9,0,1
8.6625,0,1
9.225,0,1
35.0,0,0
7.2292,0,1
17.8,0,1
7.225,0,1
9.5,0,1
55.0,0,0
13.0,1,0
7.8792,0,1
7.8792,0,1
27.9,0,1
27.7208,1,0
14.4542,0,1
7.05,0,1
15.5,0,1
7.25,0,1
75.25,0,0
7.2292,0,1
7.75,0,1
69.3,0,0
55.4417,0,0
6.4958,0,1
8.05,0,1
135.6333,0,0
21.075,0,1
82.1708,0,0
7.25,0,1
211.5,0,0
4.0125,0,1
7.775,0,1
227.525,0,0
15.7417,0,1
7.925,0,1
52.0,0,0
7.8958,0,1
73.5,1,0
46.9,0,1
13.0,1,0
7.7292,0,1
12.0,1,0
120.0,0,0
7.7958,0,1
